,Name,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing City,Billing Zip,Billing Province,Billing Country,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Notes,Note Attributes,Cancelled at,Payment Method,Refunded Amount,Vendor,Outstanding Balance,Employee,Location,Device ID,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment Terms Name,Next Payment Due At,new_email,New Phone,Nombre modo privado,Calle modo privado,Direccion modo privado,Company_joined,Id
1218,#4592,paid,2025-07-11 08:58:48 +0200,fulfilled,2025-07-12 20:14:24 +0200,no,EUR,87.0,0.0,15.1,87.0,,29.0,Estándar,2025-07-11 08:58:48 +0200,1,Kit Paseo Chocolate Brown - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Tudela,'31500,,ES,Tudela,'31500,,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,15.1,,,,,,,,,,,Navarra,Navarra,,,,532551999,Name_0944,Street_0962,Addr_0955,,ID_0982E39A70
1219,#4592,,,,,,,,,,,,,,2025-07-11 08:58:48 +0200,1,Kit Paseo Chocolate Brown - XS / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,14.5,,,,,,,,,,,,,,,,,,+496587266944,,,,,
1220,#4591,paid,2025-07-10 19:14:44 +0200,fulfilled,2025-07-12 20:14:22 +0200,no,EUR,28.13,3.99,5.57,32.12,,9.37,Estándar,2025-07-10 19:14:44 +0200,1,Arnés Comfort Chocolate Brown - S,37.5,,,True,True,fulfilled,Albacete,'02004,AB,ES,Albacete,'02004,AB,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,9.37,ES IVA 21 %,5.57,,,,,,,,,,,Albacete,Albacete,,,,745575285,Name_0945,Street_0963,Addr_0956,,ID_F40F747330
1221,#4590,paid,2025-07-10 16:50:04 +0200,fulfilled,2025-07-12 20:14:21 +0200,yes,EUR,63.75,0.0,11.06,63.75,,21.25,Estándar,2025-07-10 16:50:03 +0200,1,Kit Paseo Forest Green - XS / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,San Cristobal De La Laguna,'38207,TF,ES,San Cristobal de La Laguna,'38207,TF,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,ES IVA 21 %,11.06,,,,,,,,,,,Santa Cruz de Tenerife,Santa Cruz de Tenerife,,,email1222@gmail.com,518089438,Name_0946,Street_0964,Addr_0957,,ID_06F47D8ACC
1222,#4590,,,,,,,,,,,,,,2025-07-10 16:50:03 +0200,1,Collar Forest Green - XS,25.0,,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,6.25,,,,,,,,,,,,,,,,,email1223@gmail.com,+8687694206,,,,,
1223,#4589,paid,2025-07-10 15:41:49 +0200,fulfilled,2025-07-12 20:14:20 +0200,yes,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-10 15:41:48 +0200,1,Kit Paseo Matcha Green - M / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Madrid,'28037,M,ES,Madrid,'28037,M,ES,Pisto,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Madrid,Madrid,,,email1224@gmail.com,350981364,Name_0947,Street_0965,Addr_0958,,ID_9D0DE0A1D4
1224,#4588,paid,2025-07-10 12:27:19 +0200,fulfilled,2025-07-12 20:14:19 +0200,yes,EUR,59.6,3.99,10.16,63.59,,19.86,Standard Shipping,2025-07-10 12:27:18 +0200,1,Kit Paseo Forest Green - XS / Regular (1.80m),79.46,98.64,,True,True,fulfilled,Pattensen,'30982,,DE,Pattensen,'30982,,DE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,19.86,DE MwSt 19 %,10.16,,,,,,,,,,,,,,,email1225@aol.com,+491456993691,Name_0948,Street_0966,Addr_0959,,ID_C61A8C2689
1225,#4587,paid,2025-07-10 10:35:40 +0200,fulfilled,2025-07-12 20:14:18 +0200,yes,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-10 10:35:40 +0200,1,Kit paseo Lavanda Lilac - M / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Colinas de San Antonio,'46184,V,ES,Colinas de San Antonio,'46184,V,ES,"NELA 
",,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Valencia,Valencia,,,email1226@gmail.com,589652030,Name_0949,Street_0967,Addr_0960,,ID_1A19F2DD13
1226,#4586,paid,2025-07-10 09:57:19 +0200,fulfilled,2025-07-12 20:14:17 +0200,yes,EUR,43.5,3.99,8.88,47.49,,14.5,Envio 24/72 horas,2025-07-10 09:57:19 +0200,1,Kit Paseo Light Grey - L / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Vale da Amoreira,2835-236,PT-15,PT,Lisboa,1050-250,PT-11,PT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,PT VAT 23 %,8.88,,,,,,,,,,,Setúbal,Distrito de Lisboa,,,email1227@kpmg.com,238417614,Name_0814,Street_0968,Addr_0961,,ID_1FC4E5FF94
1227,#4585,paid,2025-07-09 19:25:42 +0200,fulfilled,2025-07-10 08:17:35 +0200,yes,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-09 19:25:42 +0200,1,Kit Paseo Matcha Green - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Sevilla,'41005,SE,ES,Sevilla,'41005,SE,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Sevilla,Sevilla,,,email1228@gmail.com,+34634037290,Name_0950,Street_0969,Addr_0962,,ID_54609C0E47
1228,#4584,paid,2025-07-09 18:17:49 +0200,fulfilled,2025-07-10 08:17:36 +0200,no,EUR,87.0,0.0,14.5,87.0,,29.0,Standard Shipping,2025-07-09 18:17:49 +0200,1,Kit Paseo Chocolate Brown - XS / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Cannes,'06400,,FR,Cannes,'06400,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,FR TVA 20 %,14.5,,,,,,,,,,,,,,,email1229@hotmail.fr,6649666497,Name_0736,Street_0750,Addr_0744,,ID_3DA538B637
1229,#4584,,,,,,,,,,,,,,2025-07-09 18:17:49 +0200,1,Kit Paseo Pirate Black - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,14.5,,,,,,,,,,,,,,,,,email1230@hotmail.fr,+9225976461,,,,,
1230,#4583,paid,2025-07-09 15:27:07 +0200,fulfilled,2025-07-10 08:17:34 +0200,yes,EUR,54.0,3.99,10.07,57.99,,18.0,Standard Shipping,2025-07-09 15:27:06 +0200,1,Correa Lavanda Lilac - Grande,36.0,,,True,True,fulfilled,Antwerpen,'2000,,BE,Antwerpen,'2000,,BE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,9.0,BE TVA 21 %,10.07,,,,,,,,,,,,,,,email1231@gmail.com,527950718,Name_0951,Street_0970,Addr_0963,,ID_A7EFCBA1C9
1231,#4583,,,,,,,,,,,,,,2025-07-09 15:27:06 +0200,1,Correa Passion Red - Grande,36.0,,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,9.0,,,,,,,,,,,,,,,,,email1232@gmail.com,+6066273149,,,,,
1232,#4582,paid,2025-07-09 14:00:14 +0200,fulfilled,2025-07-10 08:17:11 +0200,yes,EUR,43.5,3.99,0.0,47.49,,14.5,Standard Shipping,2025-07-09 14:00:13 +0200,1,Kit Paseo Sunset Orange - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Pandino,'26025,CR,IT,Pandino,'26025,CR,IT,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,14.5,,,,,,,,,,,,,Cremona,Cremona,,,email1233@gmail.com,8755966214,Name_0952,Street_0971,Addr_0964,,ID_DA46C6CD55
1233,#4581,paid,2025-07-09 12:46:29 +0200,fulfilled,2025-07-10 08:17:32 +0200,no,EUR,43.5,3.99,7.92,47.49,,14.5,Standard Shipping,2025-07-09 12:46:28 +0200,1,Kit Paseo Matcha Green - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Creteil,'94000,,FR,Créteil,'94000,,FR,Romeo,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,FR TVA 20 %,7.92,,,,,,,,,,,,,,,email1234@gmail.com,2970649765,Name_0953,Street_0972,Addr_0965,,ID_9F17F21086
1234,#4580,paid,2025-07-09 10:16:46 +0200,fulfilled,2025-07-09 11:40:59 +0200,yes,EUR,59.6,3.99,11.03,63.59,,19.86,Standard Shipping,2025-07-09 10:16:38 +0200,1,Kit paseo Lavanda Lilac - M / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,Deerlijk,'8540,,BE,Deerlijk,'8540,,BE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,19.86,BE TVA 21 %,11.03,,,,,,,,,,,,,,,email1235@hotmail.be,0914387125,Name_0954,Street_0973,Addr_0966,,ID_D651C975E3
1235,#4579,paid,2025-07-09 09:57:43 +0200,fulfilled,2025-07-09 11:31:19 +0200,yes,EUR,56.26,0.0,0.0,56.26,,18.74,Standard Shipping,2025-07-09 09:57:42 +0200,1,Arnés Comfort Pirate Black - S,37.5,,,True,True,fulfilled,Grugliasco,'10095,TO,IT,Grugliasco,'10095,TO,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,9.37,,,,,,,,,,,,,Turín,Turín,,,email1236@libero.it,+393706883930,Name_0955,Street_0974,Addr_0741,,ID_494DF33135
1236,#4579,,,,,,,,,,,,,,2025-07-09 09:57:42 +0200,1,Arnés Comfort Passion Red - S,37.5,,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,9.37,,,,,,,,,,,,,,,,,email1237@libero.it,+6395004616434,,,,,
1237,#4578,paid,2025-07-09 08:42:18 +0200,fulfilled,2025-07-09 11:41:00 +0200,no,EUR,45.0,3.99,8.5,48.99,,15.0,Estándar,2025-07-09 08:42:17 +0200,1,Kit Paseo Navy Blue - XS / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,A Coruña,'15003,C,ES,A Coruña,'15003,C,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,ES IVA 21 %,8.5,,,,,,,,,,,La Coruña,La Coruña,,,email1238@gmail.com,504951517,Name_0956,Street_0975,Addr_0967,,ID_E5F96D268E
1238,#4577,paid,2025-07-09 05:44:33 +0200,fulfilled,2025-07-09 11:31:59 +0200,yes,EUR,135.76,0.0,0.0,135.76,,45.26,Standard Shipping,2025-07-09 05:44:31 +0200,1,Kit Paseo Baby Blue - S / Clásica (1.80m),90.51,112.71,,True,True,fulfilled,Portland,'97232,OR,US,Portland,'97232,OR,US,,,,Shopify Payments,0.0,RealDogs,-0.01,,,,,Low,web,22.63,,,,,,,,,,,,,Oregón,Oregón,,,email1239@gmail.com,+18096844266,Name_0957,Street_0976,Addr_0968,,ID_31239F71CE
1239,#4577,,,,,,,,,,,,,,2025-07-09 05:44:31 +0200,1,Kit Paseo Honey Yellow - XS / Clásica (1.80m),90.51,112.71,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,22.63,,,,,,,,,,,,,,,,,email1240@gmail.com,+6611633716,,,,,
1240,#4576,paid,2025-07-08 22:33:16 +0200,fulfilled,2025-07-09 11:41:01 +0200,no,EUR,40.17,4.29,0.0,44.46,,13.39,Standard Shipping,2025-07-08 22:33:15 +0200,1,Arnés Comfort Passion Red - M,53.56,,,True,True,fulfilled,Court,'2738,,CH,Court,'2738,,CH,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,13.39,,,,,,,,,,,,,,,,,email1241@laposte.net,2307152034,Name_0958,Street_0977,Addr_0969,,ID_7B7F73871F
1241,#4575,paid,2025-07-08 22:15:11 +0200,fulfilled,2025-07-09 11:41:02 +0200,yes,EUR,28.13,3.99,5.57,32.12,,9.37,Estándar,2025-07-08 22:15:10 +0200,1,Arnés Comfort Forest Green - S,37.5,,,True,True,fulfilled,Santurtzi,'48980,BI,ES,Santurtzi,'48980,BI,ES,Pluto,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,9.37,ES IVA 21 %,5.57,,,,,,,,,,,Vizcaya,Vizcaya,,,email1242@gmail.com,328 82 60 80,Name_0959,Street_0978,Addr_0970,,ID_96518C6C39
1242,#4574,paid,2025-07-08 20:58:22 +0200,fulfilled,2025-07-09 11:41:04 +0200,yes,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-08 20:58:21 +0200,1,Kit Paseo Forest Green - XS / Regular (1.80m),58.0,72.0,,True,True,fulfilled,Badajoz,'06006,BA,ES,Badajoz,'06006,BA,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Badajoz,Badajoz,,,email1243@gmail.com,312481072,Name_0960,Street_0979,Addr_0971,,ID_0E5DFF1EFB
1243,#4573,paid,2025-07-08 18:06:53 +0200,fulfilled,2025-07-09 11:41:06 +0200,yes,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-08 18:06:52 +0200,1,Kit Paseo Baby Blue - M / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,Burjassot,'46100,V,ES,Burjassot,'46100,V,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Valencia,Valencia,,,email1244@gmail.com,734950949,Name_0961,Street_0980,Addr_0972,,ID_C8532DB427
1244,#4572,paid,2025-07-08 17:53:40 +0200,fulfilled,2025-07-09 11:41:07 +0200,yes,EUR,28.12,3.99,5.57,32.11,FRIEND25,9.38,Estándar,2025-07-08 17:53:39 +0200,1,Arnés Comfort Sunset Orange - S,37.5,,,True,True,fulfilled,Alcorcón,'28922,M,ES,Alcorcón,'28922,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,0.0,ES IVA 21 %,5.57,,,,,,,,,,,Madrid,Madrid,,,email1245@outlook.com,+34636600480,Name_0962,Street_0981,Addr_0973,,ID_E7B2F652A2
1245,#4571,paid,2025-07-08 16:43:42 +0200,fulfilled,2025-07-09 11:41:09 +0200,yes,EUR,61.65,3.99,10.48,65.64,,20.55,Standard Shipping,2025-07-08 16:43:41 +0200,1,Kit paseo Lavanda Lilac - M / Manos Libres (1.80m),82.2,98.64,,True,True,fulfilled,Neuss,'41460,,DE,Neuss,'41460,,DE,,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,20.55,DE MwSt 19 %,10.48,,,,,,,,,,,,,,,email1246@web.de,709201384161,Name_0963,Street_0982,Addr_0974,,ID_CE055F4E2A
1246,#4570,paid,2025-07-08 15:15:12 +0200,fulfilled,2025-07-09 11:41:10 +0200,yes,EUR,39.0,3.99,7.17,42.99,,13.0,Standard Shipping,2025-07-08 15:15:11 +0200,1,Arnés Comfort Pirate Black - S,52.0,,,True,True,fulfilled,Wien,'1030,,AT,Wien,'1030,,AT,Kalí,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,13.0,AT VAT 20 %,7.17,,,,,,,,,,,,,,,email1247@hotmail.com,+436272614877,Name_0964,Street_0983,Addr_0975,,ID_1E47A82D12
1247,#4569,paid,2025-07-08 14:26:00 +0200,fulfilled,2025-07-09 11:41:11 +0200,yes,EUR,45.0,3.99,8.5,48.99,,15.0,Estándar,2025-07-08 14:26:00 +0200,1,Kit Paseo Honey Yellow - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Barcelona,'08036,B,ES,Madrid,'28034,M,ES,Dobby,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,ES IVA 21 %,8.5,,,,,,,,,,,Barcelona,Madrid,,,email1248@outlook.es,345462615,Name_0965,Street_0984,Addr_0976,,ID_D6075EF195
1248,#4568,paid,2025-07-08 14:20:35 +0200,fulfilled,2025-07-09 11:41:12 +0200,yes,EUR,45.0,3.99,9.16,48.99,,15.0,Envio 24/72 horas,2025-07-08 14:20:35 +0200,1,Kit Paseo Passion Red - XS / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Guimarães,4810-431,PT-03,PT,Guimarães,4810-431,PT-03,PT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,PT VAT 23 %,9.16,,,,,,,,,,,Distrito de Braga,Distrito de Braga,,,email1249@gmail.com,+351723110866,Name_0966,Street_0985,Addr_0977,,ID_F5AF6196AE
1249,#4567,paid,2025-07-08 09:52:32 +0200,fulfilled,2025-07-09 11:41:14 +0200,yes,EUR,43.5,3.99,7.92,47.49,,14.5,Standard Shipping,2025-07-08 09:52:31 +0200,1,Kit Paseo Forest Green - S / Regular (1.80m),58.0,72.0,,True,True,fulfilled,St Maur des Fosses,'94100,,FR,Paris,'75012,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,FR TVA 20 %,7.92,,,,,,,,,,,,,,,email1250@gmail.com,+33635442115,Name_0967,Street_0986,Addr_0978,,ID_1889BF3F10
1250,#4566,paid,2025-07-08 09:50:04 +0200,fulfilled,2025-07-09 11:41:15 +0200,yes,EUR,45.0,3.99,8.5,48.99,,15.0,Estándar,2025-07-08 09:50:04 +0200,1,Kit Paseo Forest Green - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Paracuellos De Jarama,'28860,M,ES,Paracuellos De Jarama,'28860,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,ES IVA 21 %,8.5,,,,,,,,,,,Madrid,Madrid,,,email1251@icloud.com,+34609621627,Name_0968,Street_0987,Addr_0979,,ID_DCFFDF31C4
1251,#4565,refunded,2025-07-08 08:40:13 +0200,fulfilled,2025-07-09 11:41:16 +0200,yes,EUR,59.6,3.99,10.16,63.59,,19.86,Standard Shipping,2025-07-08 08:40:12 +0200,1,Kit paseo Lavanda Lilac - L / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,Berlin,'10557,,DE,Berlin,'10557,,DE,Zoe,,,PayPal Express Checkout,63.59,RealDogs,0.0,,,,,Low,web,19.86,DE MwSt 19 %,10.16,,,,,,,,,,,,,,,email1252@icloud.com,38135469997,Name_0969,Street_0988,Addr_0980,,ID_3BA80E85B7
1252,#4564,paid,2025-07-07 23:00:06 +0200,fulfilled,2025-07-09 11:41:18 +0200,yes,EUR,45.0,3.99,8.5,48.99,,15.0,Estándar,2025-07-07 23:00:06 +0200,1,Kit Paseo Matcha Green - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Madrid,'28045,M,ES,Madrid,'28045,M,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,ES IVA 21 %,8.5,,,,,,,,,,,Madrid,Madrid,,,email1253@gmail.com,058492693,Name_0970,Street_0989,Addr_0981,,ID_8219F2A6C0
1253,#4563,paid,2025-07-07 21:59:12 +0200,fulfilled,2025-07-09 11:41:19 +0200,yes,EUR,39.0,3.99,6.87,42.99,,13.0,Standard Shipping,2025-07-07 21:59:12 +0200,1,Arnés Comfort Pale Pink - S,52.0,,,True,True,fulfilled,Frankfurt am Main,'60433,,DE,Frankfurt am Main,'60433,,DE,boncuk,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,13.0,DE MwSt 19 %,6.87,,,,,,,,,,,,,,,email1254@yahoo.de,08384253302,Name_0971,Street_0990,Addr_0982,,ID_E84D074B2C
1254,#4562,paid,2025-07-07 18:58:23 +0200,fulfilled,2025-07-09 11:41:20 +0200,yes,EUR,45.0,3.99,8.16,48.99,,15.0,Standard Shipping,2025-07-07 18:58:23 +0200,1,Kit Paseo Chocolate Brown - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Bois-Colombes,'92270,,FR,Bois-Colombes,'92270,,FR,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,FR TVA 20 %,8.16,,,,,,,,,,,,,,,email1255@orange.fr,3638722913,Name_0783,Street_0991,Addr_0791,,ID_CFAEFAA32A
1255,#4561,paid,2025-07-07 17:48:30 +0200,fulfilled,2025-07-09 11:41:21 +0200,yes,EUR,39.0,3.99,6.87,42.99,,13.0,Standard Shipping,2025-07-07 17:48:30 +0200,1,Arnés Comfort Lavanda Lilac - L,52.0,,,True,True,fulfilled,Aschheim,'85609,,DE,Aschheim,'85609,,DE,Yuna ,,,PayPal Express Checkout,0.0,RealDogs,0.0,,,,,Low,web,13.0,DE MwSt 19 %,6.87,,,,,,,,,,,,,,,email1256@gmx.de,40683986652,Name_0972,Street_0992,Addr_0983,,ID_F31549D422
1256,#4560,paid,2025-07-07 15:45:25 +0200,fulfilled,2025-07-09 11:41:22 +0200,yes,EUR,59.6,3.99,11.89,63.59,,19.86,Standard Shipping,2025-07-07 15:45:25 +0200,1,Kit Paseo Navy Blue - S / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,Dunleer,A92 A785,LH,IE,Dunleer,A92 A785,LH,IE,George ,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,19.86,IE VAT 23 %,11.89,,,,,,,,,,,Condado de Louth,Condado de Louth,,,email1257@yahoo.ie,+353765176411,Name_0973,Street_0993,Addr_0984,,ID_51B055B96A
1257,#4559,paid,2025-07-07 15:43:53 +0200,fulfilled,2025-07-09 11:41:23 +0200,yes,EUR,59.6,3.99,10.16,63.59,,19.86,Standard Shipping,2025-07-07 15:43:53 +0200,1,Kit Paseo Honey Yellow - S / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,Aachen,'52070,,DE,Aachen,'52070,,DE,Mochi,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,19.86,DE MwSt 19 %,10.16,,,,,,,,,,,,,,,email1258@me.com,+491078647816,Name_0974,Street_0994,Addr_0985,,ID_A9F7B739B8
1258,#4558,paid,2025-07-07 14:19:27 +0200,fulfilled,2025-07-09 11:41:25 +0200,no,EUR,60.8,4.1,11.26,64.9,,20.27,Standard Shipping,2025-07-07 14:19:26 +0200,1,Kit Paseo Pale Pink - S / Clásica (1.80m),81.07,100.64,,True,True,fulfilled,Praha,108 00,,CZ,Praha,108 00,,CZ,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,20.27,CZ VAT 21 %,11.26,,,,,,,,,,,,,,,email1259@gmail.com,+420262084119,Name_0975,Street_0995,Addr_0986,,ID_C7BFAC2BED
1259,#4557,paid,2025-07-07 13:14:12 +0200,fulfilled,2025-07-09 11:41:26 +0200,yes,EUR,119.2,0.0,19.04,119.2,,39.72,Standard Shipping,2025-07-07 13:14:11 +0200,1,Kit Paseo Sunset Orange - S / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,Dessau-Roßlau,'06861,,DE,Dessau-Roßlau,'06861,,DE,Olli und Hilde ,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,19.86,DE MwSt 19 %,19.04,,,,,,,,,,,,,,,email1260@freenet.de,27678429777,Name_0871,Street_0887,Addr_0880,,ID_46D3F5B193
1260,#4557,,,,,,,,,,,,,,2025-07-07 13:14:11 +0200,1,Kit Paseo Matcha Green - S / Clásica (1.80m),79.46,98.64,,True,True,fulfilled,,,,,,,,,,,,,,RealDogs,,,,,,,,19.86,,,,,,,,,,,,,,,,,email1261@freenet.de,+436282849702,,,,,
1261,#4556,refunded,2025-07-07 12:49:32 +0200,fulfilled,2025-07-08 20:27:37 +0200,yes,EUR,45.0,3.99,0.0,48.99,,15.0,Standard Shipping,2025-07-07 12:49:31 +0200,1,Kit Paseo Honey Yellow - M / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Verano Brianza,'20843,MB,IT,Verano Brianza,'20843,MB,IT,,,,PayPal Express Checkout,48.99,RealDogs,0.0,,,,,Low,web,15.0,,,,,,,,,,,,,Monza y Brianza,Monza y Brianza,,,email1262@gmail.com,3146293178,Name_0976,Street_0996,Addr_0987,,ID_73A52BEC1F
1262,#4555,paid,2025-07-07 12:40:07 +0200,fulfilled,2025-07-09 11:41:27 +0200,yes,EUR,20.25,3.99,4.2,24.24,,6.75,Estándar,2025-07-07 12:40:06 +0200,1,Correa Passion Red - Grande,27.0,,,True,True,fulfilled,Cedeira,'15350,C,ES,A Coruña,'15003,C,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,6.75,ES IVA 21 %,4.2,,,,,,,,,,,La Coruña,La Coruña,,,email1263@gmail.com,843299485,Name_0977,Street_0997,Addr_0988,,ID_2924A9B82B
1263,#4554,paid,2025-07-06 23:10:27 +0200,fulfilled,2025-07-07 07:18:53 +0200,yes,EUR,45.0,3.99,0.0,48.99,,15.0,Standard Shipping,2025-07-06 23:10:27 +0200,1,Kit Paseo Honey Yellow - S / Manos Libres (1.80m),60.0,72.0,,True,True,fulfilled,Paderno Dugnano,'20037,MI,IT,Paderno Dugnano,'20037,MI,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,15.0,,,,,,,,,,,,,Milán,Milán,,,email1264@gmail.com,3734850862,Name_0978,Street_0998,Addr_0989,,ID_2B38EC9EF7
1264,#4553,paid,2025-07-06 22:51:45 +0200,fulfilled,2025-07-07 07:19:51 +0200,no,EUR,43.5,3.99,8.24,47.49,,14.5,Estándar,2025-07-06 22:51:44 +0200,1,Kit Paseo Matcha Green - S / Clásica (1.80m),58.0,72.0,,True,True,fulfilled,El Vendrell (urb Mas Borras),'43700,T,ES,"El Papagai, La Bisbal Del Penedes",'43717,T,ES,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,ES IVA 21 %,8.24,,,,,,,,,,,Tarragona,Tarragona,,,,642072570,Name_0979,Street_0999,Addr_0990,,ID_3482895DF5
1265,#4552,paid,2025-07-06 22:36:05 +0200,fulfilled,2025-07-07 07:19:52 +0200,no,EUR,27.0,3.99,4.95,30.99,,9.0,Standard Shipping,2025-07-06 22:36:04 +0200,1,Correa Matcha Green - Standard,36.0,,,True,True,fulfilled,Berlin,'12047,,DE,Berlin,'12047,,DE,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,9.0,DE MwSt 19 %,4.95,,,,,,,,,,,,,,,email1266@yahoo.de,17685610910,Name_0980,Street_1000,Addr_0991,,ID_E3C4F06DFD
1266,#4551,paid,2025-07-06 22:17:16 +0200,fulfilled,2025-07-07 07:18:11 +0200,yes,EUR,43.5,3.99,0.0,47.49,,14.5,Standard Shipping,2025-07-06 22:17:15 +0200,1,Kit Paseo Tiffany Blue - M / Regular (1.8m),58.0,72.0,,True,True,fulfilled,Roma,'00131,RM,IT,Roma,'00131,RM,IT,,,,Shopify Payments,0.0,RealDogs,0.0,,,,,Low,web,14.5,,,,,,,,,,,,,Roma,Roma,,,email1267@gmail.com,8080964614,Name_0439,Street_1001,Addr_0992,,ID_5150FE597D
